SpielTyp;Spielstatus;Bezeichnung;Spielnummer;TagKurz;Spieldatum;Spielzeit;Teamname A;TeamLiga A;Vereinsnummer A;Teamname B;TeamLiga B;Vereinsnummer B;Spielort;Sportanlage;Ort;Wettspielfeld;
"Meisterschaft";"";"4. Liga / Gruppe  3";"126104";"So";"11.10.2026";"11:00";"C.F. España";"4.";"10336";"NK Tomislavgrad Bern";"4.";"10392";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128470";"So";"11.10.2026";"13:30";"C.F. España";"5.";"10336";"FC Länggasse";"5.";"10311";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"Senioren 30+ / MFV / Gruppe  3";"127280";"Mo";"12.10.2026";"19:30";"C.F. España / Italiana";"Sen.30+";"10336";"Team Chiesetau (FC GS)";"Sen.30+";"10434";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"Senioren 40+ / MFV / Gruppe  2";"127352";"Di";"13.10.2026";"19:30";"C.F. España / Italiana";"Sen.40+";"10336";"FC Galicia";"Sen.40+";"10351";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126093";"Do";"15.10.2026";"20:00";"C.F. España";"4.";"10336";"FK Drina Bern";"4.";"10352";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128473";"Fr";"16.10.2026";"19:30";"SC Worb a";"5.";"10328";"C.F. España";"5.";"10336";"Worbboden, Worb - Hauptplatz";"Worbboden";"Worb";"Hauptplatz";
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.F Stärkeklasse 3";"802944";"Sa";"17.10.2026";"10:00";"Organisator: FC Laupen";"";"";"Teams: FC Laupen a1, FC Bolligen c, FC Bolligen d, SC Jegenstorf schwarz 1, SC Jegenstorf schwarz 2, SC Worb c, FC Schwarzenburg b, C.F. España a1, C.F. España a2";"";"";"Gillenau, Laupen - Nebenplatz";"Gillenau";"Laupen";"Nebenplatz";
"Meisterschaft";"";"Junioren D-7 / MFV - Herbstrunde / Gruppe  5";"137563";"Sa";"17.10.2026";"11:30";"Team Chiesetau (FC GS) c";"Jun.D-7";"10434";"C.F. España";"Jun.D-7";"10336";"Mutti, Biglen - Hauptplatz";"Mutti";"Biglen";"Hauptplatz";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126108";"Sa";"17.10.2026";"17:00";"SC Holligen 94";"4.";"10318";"C.F. España";"4.";"10336";"Steigerhubel, Bern - Fussballfeld Steigerhubel 1";"Steigerhubel";"Bern";"Fussballfeld Steigerhubel 1";
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.E Stärkeklasse 3";"802634";"So";"18.10.2026";"10:15";"Organisator: FC Breitenrain";"";"";"Teams: C.F. España, FC Sternenberg weiss 1, FC Schönbühl c, FC Breitenrain e, FC Wabern gelb 2, FC Ostermundigen c, FC Stettlen 08 rot, FC Sternenberg weiss 2";"";"";"Spitalacker, Bern - Kunstrasenfeld Spitalacker";"Spitalacker";"Bern";"Kunstrasenfeld Spitalacker";
